"filename","Texture","run_id","C","sigma","pca_components","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","Cl",21,8,0.0338460989481592,22,0.900893162375088,1.2481120097007,3.24406863770576,2.11094686976997,0.94706422333189,0.949757979904237,4.2067159455515,2.62474357967632,-0.000663509343086069,0.943419808849964,0.969136005295069,112.452919960022
"TC","Cl",22,8,0.0329018222906962,23,0.914986387647219,1.17428867430694,3.50391715493641,2.17773350450587,0.933232378938507,1.00017831346803,3.83727272430015,2.80081103767058,0.00899103260536267,0.932000541797955,0.963574410397041,106.22577214241
"TC","Cl",23,16,0.033012852880049,22,0.917876185253223,1.14096375877778,3.50576404406111,2.27022465005788,0.930734028828137,1.12845779883149,3.64307878010381,2.3780656775812,-0.0149621715086899,0.924557918888427,0.957745899969632,106.668874025345
"TC","Cl",24,8,0.0309982549087547,23,0.91357182314581,1.2063776593298,3.41553143106886,2.29117264284847,0.958651648011256,0.786408292844477,4.85742704847014,3.00333376630234,0.0342071548859247,0.957563631496211,0.977636599737743,97.5000319480896
"TC","Cl",25,8,0.0335340242130347,23,0.920058070568612,1.13636319436665,3.56428693107666,2.28668965422474,0.91528248096496,1.16293723643491,3.43477843666341,2.27202946747151,0.0292543077130733,0.915130170401911,0.955247725325347,105.992193937302
"TC","Cl",26,8,0.0359879219922857,22,0.905702927546713,1.20425115086153,3.31419277241947,2.23165109543584,0.916027176686553,1.23860454942923,3.33512032774871,2.00055424561605,0.0213350400379784,0.909982329318112,0.949245114732698,115.120688915253
"TC","Cl",27,8,0.0321421338895343,23,0.916894794129576,1.1932644554248,3.48869516947388,2.21352384041281,0.93723881212811,0.935111287826354,3.97106480210043,2.68287873610384,0.0527744414147591,0.936505393310695,0.966464494847524,104.173866510391
"TC","Cl",28,16,0.0330710612257755,22,0.923733667754058,1.03146443042133,3.71427297312262,2.55274169650665,0.901240526917115,1.45794757144509,3.0644332264484,1.78583750266088,-0.0640631738459159,0.893377107368609,0.938826535342447,98.9262642860413
"TC","Cl",29,16,0.0332666773300282,23,0.927277651575937,1.03474640855626,3.74990030245314,2.47599448407335,0.898757678881144,1.43884099257522,3.03495653408617,1.87141819971412,-0.0476404971844486,0.891295922572237,0.937660770318627,107.455345392227
"TC","Cl",30,8,0.0341565626913844,23,0.914187632342066,1.21324598164124,3.3950987614264,2.18377486518926,0.94390191072866,0.907014637141139,4.21906486168728,2.81984279554908,0.047038544052221,0.943750536880329,0.97107456937807,106.527973175049
"TC","Cl",31,8,0.0319822776014249,22,0.90815246409108,1.23757751182423,3.27593279215685,2.17417790343798,0.958924592438889,0.810957007089007,4.91356714441867,3.01010412224242,0.0593688178152585,0.958527807519717,0.97855028925468,109.820594072342
"TC","Cl",32,8,0.0329316888768113,23,0.919219372137458,1.10696076863862,3.56374251999708,2.35687893728032,0.913083284414485,1.27233329001668,3.32601689430836,2.09170120823067,0.0121695407960259,0.90948889145563,0.949778347668003,104.51504278183
