"filename","Texture","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","Cl",38,30,0.934962337287897,1.06234663493229,3.85782850984997,2.43671356869784,0.918210981328439,1.1116926177841,3.48799010389589,2.41384968926829,-0.00287478347053276,0.91769991238557,0.958053475002653,23.1942756175995
"TC","Cl",39,30,0.917965373969432,1.13559704208725,3.45555041626737,2.26109731254716,0.951739823266205,0.941032530977039,4.54105475485974,2.8797721766179,0.0129781211204216,0.951444625442089,0.975539225642439,23.0841114521027
"TC","Cl",40,30,0.928405099003707,1.07058619514791,3.70970425133439,2.45156532177906,0.929824545556764,1.10692937541317,3.77176489126611,2.34002555857113,-0.0433487514563771,0.929618007344684,0.963167848567545,20.9112911224365
"TC","Cl",41,30,0.925074313806789,1.15186610174575,3.62554357765077,2.29786508691288,0.940558288515755,0.902224431787325,4.06937167045427,2.72120483939492,-0.0128307131379749,0.939536111874175,0.969816686574463,17.8781707286835
"TC","Cl",42,30,0.9218512222398,1.13995723364758,3.59714570866582,2.32786603889421,0.942651110201767,0.926266526668241,4.17779988410656,2.68497468967781,-0.00361887166065034,0.942633874498513,0.970350577418619,22.5767877101898
"TC","Cl",43,30,0.932959345822303,1.03171388046027,3.83071823460257,2.46386641504324,0.924823338645978,1.15545710858199,3.64860601811193,2.43380954525535,-0.000800036722993239,0.924786318716622,0.960686226058597,23.5568568706512
"TC","Cl",44,30,0.931515900104319,1.02082618192173,3.86615204597806,2.58645628096013,0.915553267270481,1.24150894958712,3.40686980857689,2.05252712100662,-0.0135749145279028,0.913733990168956,0.953013640887844,21.4810831546783
"TC","Cl",45,30,0.934935669432139,1.04233387802417,3.87499991286676,2.57791373441062,0.91358539648968,1.18195282812866,3.40138156665133,2.16100245222474,-0.0163140758868484,0.913455379442559,0.955252922814975,18.5405418872833
"TC","Cl",46,30,0.936887139282106,0.99322695143275,3.95483213718582,2.68980227142063,0.919142083491607,1.2404760643883,3.44217191265665,1.9625105875787,-0.0393731692059844,0.915494364390465,0.953269078246002,23.5522217750549
"TC","Cl",47,30,0.925971371184883,1.11941274711899,3.64229360164145,2.35291014576952,0.936525736432413,1.0009208131305,3.92580242503881,2.56483864290001,0.0854135959065365,0.935032836177579,0.967513900893793,19.5463671684265
"TC","Cl",48,30,0.935995533182901,1.01946384007046,3.89572952865449,2.52217250768041,0.917616653011565,1.19883676461683,3.48096782255105,2.23530491313927,-0.050995519484323,0.917367523611355,0.95648056396259,18.5797412395477
"TC","Cl",49,30,0.932708595614422,0.983250277917379,3.85549828442628,2.62976576571817,0.921109651144535,1.32251056768275,3.43883560618699,2.02723336623132,-0.0423908566955747,0.915330312661056,0.952488019523068,19.6822164058685
"TC","Cl",50,30,0.92886309530641,1.07072477733565,3.75225783299226,2.41834686635656,0.931027325763193,1.07409735263459,3.7899005775695,2.48214303243608,-0.0152817682082133,0.930289988941633,0.96291759171896,22.8841829299927
"TC","ClLo",1,30,0.906039406976897,1.21974881243098,3.29267913198675,2.10418946002888,0.913779486893082,1.22895525509239,3.15139558369834,2.10297163122161,0.114584132557976,0.899177249458239,0.953157767589371,23.6723372936249
"TC","ClLo",2,30,0.914646724208568,1.20851838939779,3.50807468825505,2.1452727118136,0.894284252253493,1.08644492542747,3.00534555267369,2.25578467222875,0.0521513529834862,0.889139825679171,0.945434201883175,18.4098415374756
"TC","ClLo",3,30,0.915605170565641,1.21230564768094,3.46950940079113,2.119754050817,0.891666791386591,1.15063475771912,2.92524139512158,2.2259886795678,-0.00347779772385073,0.882985154276529,0.943642746484997,24.9593093395233
"TC","ClLo",4,30,0.893656594272376,1.36167134788548,3.06373439493894,1.90949611412303,0.908968138391,1.06126824553689,3.26470598553213,2.35863599803995,-0.0345404041908348,0.906054445433746,0.953331450671627,22.8410627841949
"TC","ClLo",5,30,0.910994725226184,1.2318902356988,3.41270384808965,1.99632219351505,0.898472887761119,1.19068050463206,2.83508288084696,2.26776721336712,-0.031887045394383,0.875424434812073,0.943599658660013,22.8968381881714
"TC","ClLo",6,30,0.913017960341407,1.14695588688495,3.38403184096947,2.2118865328728,0.915218789774622,1.22026867410005,3.42730602398657,2.19980330723454,0.023776467443675,0.914757021369652,0.954562110563713,20.1964771747589
"TC","ClLo",7,30,0.902683915333452,1.1963504354654,3.15420144010637,2.15141247597635,0.918367596715112,1.25841791490515,3.49802393268978,1.96249411920216,-0.0233241071192003,0.9181688164844,0.956783753812065,20.8515112400055
"TC","ClLo",8,30,0.918345138488198,1.18495118950846,3.54890457668284,2.1173663035359,0.891888761620492,1.13318731381066,2.97448216804167,2.38919625599725,0.0674573714082932,0.886827308108977,0.944137129564148,23.2253093719482
"TC","ClLo",9,30,0.914442954819497,1.23435727151487,3.40541846134835,2.10249175817225,0.896564576709823,1.14016015190549,2.95592765082019,2.13639552823269,0.0942682830994468,0.885402066769293,0.945447098752007,24.4511961936951
"TC","ClLo",10,30,0.919060908691105,1.18986461910995,3.51203206240891,2.24471571143775,0.895812255368484,1.14271192497294,3.01073258555081,2.1364624816161,-0.0228650648982631,0.889536189754895,0.946155200259361,25.2876069545746
